t_val,u_val,du_dt_val,d2u_dt2_val,f_val
10.7,0.133724152347359,-0.135723699530175,-0.29754192044056,-0.830301108708525
10.8,0.118742623852552,-0.162792265926799,-0.240729769813418,-0.924471774914122
10.9,0.101335474740926,-0.183696753484977,-0.174070174267009,-0.981786668793277
11,0.0821913665672914,-0.197530317005432,-0.101172609934376,-0.999960826394637
11.1,0.0620247567089545,-0.203867780609656,-0.0248770236343386,-0.978269701406507
11.2,0.0416107986130105,-0.202504768011702,0.0515818478423383,-0.917578050531861
11.3,0.0217248690956674,-0.193594671446242,0.125486175443409,-0.820305458367489
11.4,0.00308602412179001,-0.177503594062963,0.194093617674229,-0.690329876201572
11.5,-0.0136122723812565,-0.154946742585261,0.255369411497031,-0.532833020333398
11.6,-0.0277613784336818,-0.126772147912313,0.307039811846063,-0.354093793396359
11.7,-0.0388533332975197,-0.0940115813777898,0.346963685138197,-0.161237964324189
11.8,-0.0464926511251246,-0.0579061823214,0.373443635951195,0.0380459135697705
11.9,-0.0504232129394322,-0.0198680035684702,0.385323679696894,0.235813020950523
12,-0.0505020971188252,0.0186327925038512,0.381754753065357,0.424179007336997
12.1,-0.0467624702955662,0.0560214515715388,0.362902046272789,0.595634315275209
12.2,-0.0393932054819028,0.0907895075414245,0.32949367744439,0.743343562696173
12.3,-0.0287297506637384,0.121551141122117,0.282893733774119,0.861418048028703
12.4,-0.0152400084874754,0.14706942631365,0.225214181217574,0.945150514148171
12.5,0.000495358374255742,0.166352731681397,0.15894399918033,0.991202811863474
12.6,0.0178159349280969,0.178683513531223,0.0867890562769027,0.99773898139113
12.7,0.0360075126089726,0.183619518336526,0.0115836931233735,0.96449844627815
12.8,0.0543074967143948,0.180992411441184,-0.0637941437618065,0.89280640176291
12.9,0.0719681452101461,0.170929160211873,-0.136666398483663,0.785520983422907
13,0.08826189688824,0.153810797709587,-0.20440550760984,0.64691932232864
13.1,0.102514163613008,0.130280981346282,-0.264546326706651,0.482527029325105
13.2,0.114128883014695,0.101220744158665,-0.314742493057804,0.298897906364472
13.3,0.122606562800298,0.0677321575298008,-0.352823809337706,0.103352667103971
13.4,0.127567620284581,0.03111622245071,-0.376929800504458,-0.0963129168457606
13.5,0.128771192198298,-0.00715889912813897,-0.385709050331902,-0.292138808733836
13.6,0.126128718956718,-0.0455173859061335,-0.378480393782622,-0.476318048215015
13.7,0.119709651656959,-0.0823600005914818,-0.355318897972504,-0.641507990222383
13.8,0.10974553626325,-0.116124875219756,-0.317237281240201,-0.781123033055114
13.9,0.0966183594606301,-0.145396240147969,-0.266020771832675,-0.889597165536208
14,0.0808371054826089,-0.168974604083951,-0.20409089040215,-0.962605866313567
14.1,0.0630244990704195,-0.185924739997605,-0.134331854624563,-0.997238508879474
14.2,0.0438786336121769,-0.195624289626348,-0.0597547955021049,-0.992114399064451
14.3,0.0241422007484863,-0.197744129332761,0.0165643552259435,-0.947437818956758
14.4,0.00457789181737625,-0.192267337012678,0.0917487636030406,-0.864989882820189
14.5,-0.0140668374782724,-0.179454893938553,0.163106228473869,-0.748057529689
14.6,-0.031082364218754,-0.159816093666376,0.22808834674897,-0.601302483481155
14.7,-0.0458225805126017,-0.134107463054674,0.284376557850852,-0.43057540477663
14.8,-0.0577276797564566,-0.103300434130722,0.329825971225777,-0.24268264344292
14.9,-0.0663426870070039,-0.0685689880101777,0.362563754809893,-0.0451148909445113
15,-0.0713428382946468,-0.031252938415443,0.381063624139713,0.154251449887584
15.1,-0.0725391052492105,0.00717503205531483,0.384320989441488,0.34746827218126
15.2,-0.069899324623631,0.0451646885151406,0.372011867287588,0.526832630962609
15.3,-0.0635413740086769,0.0811738842758821,0.344504488202892,0.685193835263987
15.4,-0.0537396653626353,0.11371431510018,0.303048620679414,0.81623852360757
15.5,-0.0409084145737275,0.141475414569301,0.249457493919289,0.914742357804531
15.6,-0.0255984666343775,0.163331737236358,0.186253222608843,0.976778300832261
15.7,-0.0084412902404164,0.178471284185352,0.116021629918329,0.999873175407983
15.8,0.00986423697471291,0.186333179441427,0.0416667816268036,0.983106261762453
15.9,0.0285773932542757,0.186669593769839,-0.034017123407929,0.927146003831664
16,0.0469473175933262,0.179502057844386,-0.108256088191066,0.83422336050651
16.1,0.0642359281135936,0.165109440980537,-0.178333850837593,0.708042864342006
