t_val,u_val,du_dt_val,d2u_dt2_val
14.9,0.343081264415279,0.101171140661695,0.0112144444599259
15,0.353250612819753,0.101957190746279,0.00389484935221762
15.1,0.363461690794011,0.101917932138939,-0.00546092677498189
15.2,0.373611738345612,0.100849228246437,-0.0165342879557614
15.3,0.383588749202042,0.098587230213609,-0.0289977054257102
15.4,0.39327148419611,0.095008398171029,-0.04251467569879
15.5,0.402529471265945,0.0900295012350097,-0.0567396496711907
15.6,0.411223005454996,0.0836076175076023,-0.0713179770166853
15.7,0.419204077093017,0.0757387050227677,-0.0858874719380075
15.8,0.426333965739484,0.0664278967098434,-0.10010752086386
15.9,0.432461489252201,0.0557298928566722,-0.113624892301219
16,0.43744439412543,0.0437352178809334,-0.126120347630661
16.1,0.441159645873002,0.030556532895425,-0.137327545509819
16.2,0.443503429028313,0.016328635708064,-0.147033079579729
16.3,0.444389687676181,0.00120251283039868,-0.155069908954143
16.4,0.443732964181468,-0.0146470465040332,-0.161278330521879
16.5,0.441459457509191,-0.0310105986776699,-0.165539134194802
16.6,0.437522785230305,-0.0476858282337413,-0.167792215202597
16.7,0.431904287117453,-0.06447948069673,-0.168036479914403
16.8,0.424612865658973,-0.081207414373063,-0.166329548872621
16.9,0.415667223739125,-0.0976873003510232,-0.162747142730318
17,0.405095268341301,-0.113718058918367,-0.157392028770579
17.1,0.392947922821532,-0.129118422970247,-0.15040943870122
17.2,0.379295045119122,-0.143737194938585,-0.141971917454398
17.3,0.364225280155782,-0.157453344436257,-0.132279099568659
17.4,0.347835114509516,-0.170167239335555,-0.121534936523829
17.5,0.330230129765689,-0.181766645413498,-0.109968047953282
17.6,0.311525446832912,-0.192164214341295,-0.0978143170198696
17.7,0.291841435445987,-0.201309007056847,-0.0853006414204561
17.8,0.271303714165914,-0.209186493764749,-0.0726451820745263
17.9,0.250041329370168,-0.215816753728154,-0.0600539685261872
18,0.228173371005347,-0.221218603163308,-0.0477056406899581
18.1,0.205827658193553,-0.22540911578531,-0.035798676728816
18.2,0.183126707327306,-0.228427633536472,-0.0245045892006757
18.3,0.160183708218311,-0.230335759132239,-0.0139581568660264
18.4,0.137102524097465,-0.231217356061181,-0.0042577181128238
18.5,0.113977691614843,-0.231178548584999,0.00453453063582621
18.6,0.090887804495916,-0.230325458232018,0.0123976413832805
18.7,0.0679093482874836,-0.228739553158427,0.0193046962500393
18.8,0.0451234303076938,-0.226516618004275,0.0252251586862607
18.9,0.02259734132168,-0.223749960975728,0.0301622620400054
19,0.000384409102222635,-0.220530160073985,0.0341529368196267
19.1,-0.0214760015702457,-0.216945063095273,0.0372674983564985
19.2,-0.0429584889076425,-0.213079787630849,0.0396093348615514
19.3,-0.0640516141142378,-0.209016721067001,0.0413145966553111
19.4,-0.0847472099854176,-0.2048146875021,0.0425147423036517
19.5,-0.105022583758684,-0.200506794083206,0.0432906628160379
19.6,-0.124864154062071,-0.196140739427433,0.0437516256169669
19.7,-0.144262969820349,-0.191748636592634,0.0440086849300972
19.8,-0.163214558416249,-0.187346562837394,0.0441737836839992
19.9,-0.181718925690466,-0.182934559621033,0.0443594658574837
20,-0.199780555941658,-0.178496632603605,0.0446785952665777
20.1,-0.217406581329731,-0.174001586443393,0.0452399224029878
20.2,-0.234588688298177,-0.169420906692931,0.0461115251990255
20.3,-0.251309385851537,-0.164733000134273,0.0473383421449816
20.4,-0.267550577935807,-0.1599097765769,0.0489566455344251
20.5,-0.283293441668564,-0.154916082298211,0.0509932149157208
20.6,-0.298518427338968,-0.149709700043519,0.0534651086055972
20.7,-0.313205258407758,-0.144241349026055,0.0563794461314227
20.8,-0.327332931507258,-0.138454684926964,0.0597332021459744
20.9,-0.340879472920061,-0.132290887179672,0.0635146971687064
21,-0.353802813779095,-0.125717571487989,0.0676700602200628
21.1,-0.366046025116988,-0.11871571133575,0.0721096085015224
21.2,-0.377556312815566,-0.111268682816287,0.0767497018342509
21.3,-0.388285421446945,-0.103362282667015,0.0815136196659615
21.4,-0.398189634273533,-0.0949847282694344,0.086331433548363
21.5,-0.407229773248032,-0.0861266576491311,0.0911398940239668
21.6,-0.415371177871124,-0.0767810273997376,0.095882228311187
21.7,-0.422572984222787,-0.0669461024026122,0.100482749259422
21.8,-0.428773484303944,-0.0566580966151935,0.10482650576108
21.9,-0.433917404997418,-0.0459633297340285,0.108813505466743
22,-0.437960808152394,-0.0349062521692971,0.11236493991493
22.1,-0.440871090584422,-0.0235294450448149,0.115423162507418
22.2,-0.442626984075418,-0.0118736201980322,0.117951682083572
22.3,-0.443217227028547,2.2070964626318e-05,0.119932005674657
22.4,-0.442617098201227,0.0121015166706385,0.121314258016431
22.5,-0.440802767612323,0.0242846708954075,0.122056586071843
22.6,-0.437763463587728,0.0364980892133956,0.122140364460534
22.7,-0.43349930756007,0.048677712225073,0.121563461775856
22.8,-0.428021314068712,0.0607688655569184,0.120340326728644
22.9,-0.421346391367528,0.07272073515573,0.118492353060506
23,-0.413487561636605,0.0844610520537761,0.116036203376195
23.1,-0.404466824008549,0.0959192440856238,0.113004520892194
23.2,-0.394314211955289,0.107038389945596,0.109437739946716
23.3,-0.383067713975661,0.117775232479224,0.105384038815063
23.4,-0.370771241090421,0.128098866720619,0.100895085446709
23.5,-0.357467000247733,0.137963217425066,0.0960209160796298
23.6,-0.343201046702604,0.14731629707825,0.0908193834402623
23.7,-0.328024255610402,0.156121714933648,0.0853480393631665
23.8,-0.311992261065564,0.164358988279265,0.0796640462872451
23.9,-0.295165456101597,0.172023542437632,0.073824407618131
24,-0.277603933565646,0.179118890855768,0.0678774704857956
24.1,-0.259363323600593,0.185624974898281,0.0618685998217439
24.2,-0.24050277272299,0.191522737284774,0.0558480986304872
24.3,-0.221082031350273,0.196805555220207,0.0498584779164377
24.4,-0.201161437316268,0.201479243415786,0.0439346893459473
24.5,-0.180801915871193,0.205562054088967,0.0381044076523714
24.6,-0.160063971588457,0.209083128936249,0.0323865731372167
24.7,-0.139000351491977,0.212054845107008,0.0267871708159092
24.8,-0.117667442965852,0.214476223309747,0.0213263203114459
24.9,-0.0961212590101198,0.216352098990547,0.0160189566875678
25,-0.0744157464374142,0.217693086001775,0.0108709257414472
25.1,-0.0526027858729677,0.218515576602093,0.00587929322503156
25.2,-0.0307321917546111,0.21884174145645,0.00103265587943968
25.3,-0.00885160882425356,0.218699422314538,-0.0036887516055268
25.4,0.0130012555604861,0.218103864528228,-0.00832302974538698
25.5,0.0347784496242117,0.217054534454794,-0.0128742566567925
25.6,0.0564263876159061,0.215555101914237,-0.0173336948953448
25.7,0.0778950868826448,0.213610312742363,-0.021701012000619
25.8,0.0991381678695994,0.211225988790781,-0.0259839749316962
25.9,0.120112854120031,0.208409027926908,-0.0301981481177755
26,0.140779972275298,0.205167404033963,-0.0343665958785858
26.1,0.161103952074848,0.201510167010971,-0.0385195899583852
26.2,0.181053892460703,0.197445057926908,-0.0426957957428368
26.3,0.200602430230117,0.192952419766937,-0.046926119203396
26.4,0.21969109754566,0.188033014314311,-0.0511707363140835
26.5,0.238260941448115,0.18269542337677,-0.055389077590434
26.6,0.256259923491057,0.176946738030225,-0.0595534155461526
26.7,0.273642919740856,0.170792558618754,-0.0636486176868525
26.8,0.290371720776679,0.164236994754599,-0.0676719093665474
26.9,0.306415031690483,0.157282665318174,-0.0716326470996332
27,0.321748472087023,0.149930698458057,-0.0755521028949642
27.1,0.336353347344213,0.142178355014086,-0.079459000013536
27.2,0.350188585150452,0.134015380780028,-0.0833173384096472
27.3,0.363193655982304,0.125468959222007,-0.0870559928021282
27.4,0.375316761083664,0.116568909155779,-0.0906216149785873
27.5,0.386515747388152,0.107340128393239,-0.0939769898583716
27.6,0.396758107519109,0.097802593742431,-0.0971008962248836
27.7,0.406020979789602,0.0879713610075421,-0.0999879816046007
27.8,0.414291148202421,0.0778565649889036,-0.102648651605529
27.9,0.421559329079375,0.0674643102427631,-0.105095135944809
